Deepa Purohit,{'The Sopranos': 'Ambujam'}
Ilene S. Landress,{'The Sopranos': 'Dr. Laurens'}
Albert Makhtsier,{'The Sopranos': 'Stasiu Wosilius'}
Anthony Patellis,{'The Sopranos': 'Charles Cirillo'}
Craig muMs Grant,{'The Sopranos': 'Mop'}
Christopher Carley,{'The Sopranos': 'Drew'}
Allan Wasserman,{'The Sopranos': 'Perry Benedek'}
Stephen Singer,{'The Sopranos': 'Dr. Mandl'}
Southside Johnny Lyon,{'The Sopranos': 'Self'}
Philippe Bergeron,{'The Sopranos': 'Denis'}
Jackie Tohn,{'The Sopranos': 'Heather Dante'}
Justine Miceli,{'The Sopranos': 'Nursing Home Director'}
John Aprea,{'The Sopranos': 'U.S. Attorney'}
